time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1696508108019665400,3.70366552734375,10,20,34.216304779052734,7,0.14651988446712494,234.19569396972656,36.60000228881836,25.5161648,65.0713748
1696508109655879200,5.339879150390625,10,20,34.232666015625,7,1.0918446779251099,71.88108825683594,36.60000228881836,25.5162274,65.071393
1696508109996000000,5.68,10,20,5.733375072479248,7,1.1699928045272827,69.123779296875,36.60000228881836,25.5162402,65.0713979
1696508110627351000,6.31135107421875,10,20,5.739688396453857,6.75,1.2042624950408936,78.9898910522461,36.60000228881836,25.5162636,65.0713942
1696508111639929000,7.32392919921875,10,20,5.749814510345459,6.400000095367432,0.8479651212692261,75.78385162353516,36.60000228881836,25.5162667,65.0713958
1696508112645696500,8.329696533203125,10,20,5.759871959686279,6.083000183105469,0.500129759311676,87.90612030029297,36.60000228881836,25.5162589,65.0713902
1696508113666743000,9.350742919921874,10,20,5.770082473754883,5.583000183105469,0.3054845929145813,147.79783630371094,36.60000228881836,25.5162368,65.0713774
1696508114652774000,10.33677392578125,10,20,5.779942989349365,5.3420000076293945,0.43875089287757874,190.04098510742188,36.60000228881836,25.5162124,65.0713657
1696508115641332700,11.325332763671875,10,20,5.789828300476074,4.260000228881836,0.7260585427284241,196.65321350097656,36.60000228881836,25.5161932,65.0713454
1696508116664327400,12.348327392578126,10,20,5.800058364868164,4.039999961853027,0.9473978281021118,197.5749969482422,36.60000228881836,25.5161766,65.0713244
1696508116819000000,12.503,10,20,7.631410121917725,4.015999794006348,1.0088155269622803,197.81405639648438,36.900001525878906,25.5161724,65.0713191
1696508117647826200,13.331826171875,10,20,7.639698505401611,3.9159998893737793,1.0840837955474854,196.85060119628906,36.900001525878906,25.5161662,65.0713059
1696508118636434200,14.32043408203125,10,20,7.6495842933654785,3.9140000343322754,1.1645022630691528,195.4945526123047,36.900001525878906,25.5161606,65.0712894
1696508119646062300,15.330062255859374,10,20,7.6596808433532715,3.9000000953674316,1.2500147819519043,194.41050720214844,36.900001525878906,25.5161543,65.0712709
1696508120642224400,16.326224365234374,10,20,7.669642448425293,3.9000000953674316,1.3148778676986694,193.75721740722656,36.900001525878906,25.5161476,65.0712533
1696508121642554000,17.32655419921875,10,20,7.679645538330078,3.9000000953674316,1.3365145921707153,193.55758666992188,36.900001525878906,25.516141,65.0712393
1696508122037000000,17.721,0,0,12.88853645324707,3.997999906539917,1.3266915082931519,193.46542358398438,36.900001525878906,25.5161395,65.0712357
1696508122650632400,18.334632568359375,10,20,12.894672393798828,3.997999906539917,1.3495656251907349,194.09970092773438,36.900001525878906,25.5161303,65.0712264
1696508123640763000,19.324762939453127,10,20,12.904574394226074,3.997999906539917,1.389485478401184,194.81948852539062,36.900001525878906,25.5161158,65.0712106
1696508124660115700,20.34411572265625,10,20,12.914767265319824,3.997999906539917,1.459991455078125,194.78431701660156,36.900001525878906,25.5161029,65.0711894
1696508125647969800,21.3319697265625,0,0,12.924960136413574,4.410999774932861,0.9365687966346741,189.1072235107422,36.900001525878906,25.5161023,65.0711831
1696508126202382600,21.886382568359377,0,0,12.924960136413574,4.507999897003174,0.6581846475601196,178.71092224121094,36.900001525878906,25.5161017,65.0711784
1696508126756826000,22.440826171875,0,0,12.934552192687988,4.659999847412109,0.732096254825592,187.11038208007812,36.900001525878906,25.5160933,65.0711716
1696508127311452400,22.995452392578127,0,0,16.682437896728516,4.797999858856201,0.7461602687835693,187.72010803222656,37.70000076293945,25.5160871,65.0711653
1696508127866017800,23.550017822265627,0,0,16.687541961669922,5.1570000648498535,0.8070146441459656,192.60772705078125,37.70000076293945,25.5160808,65.0711597
1696508128420308700,24.104308837890624,0,0,16.697479248046875,5.6539998054504395,0.8555727601051331,196.57244873046875,37.70000076293945,25.5160737,65.0711547
1696508128974691000,24.658691162109374,0,0,16.697479248046875,5.922999858856201,0.8683302402496338,198.988525390625,37.70000076293945,25.5160664,65.0711491
1696508129528798700,25.212798828125,0,0,16.707508087158203,6.230999946594238,0.8777595162391663,200.95257568359375,37.70000076293945,25.516059,65.0711444
1696508130082976000,25.76697607421875,0,0,16.707508087158203,6.78000020980835,0.8950614333152771,202.38694763183594,37.70000076293945,25.5160494,65.0711376
1696508130642852900,26.326852783203126,0,0,16.717487335205078,6.938000202178955,0.9159178733825684,203.62136840820312,37.70000076293945,25.5160389,65.0711309
1696508131192168000,26.87616796875,0,0,40.11161804199219,7.223999977111816,0.9635242223739624,204.8838653564453,36.900001525878906,25.5160264,65.0711221
1696508131746825000,27.430824951171875,0,0,40.11763381958008,7.389999866485596,1.0433835983276367,204.483642578125,36.900001525878906,25.5160127,65.0710994
1696508132301420800,27.9854208984375,0,0,40.11763381958008,7.589000225067139,1.1006187200546265,204.4584197998047,36.900001525878906,25.5160008,65.0710828
1696508132855803100,28.53980322265625,0,0,40.127559661865234,7.7129998207092285,1.1357991695404053,204.73104858398438,36.900001525878906,25.515993,65.0710695
1696508133410124300,29.094124267578124,0,0,40.127559661865234,7.767000198364258,1.1634589433670044,205.00955200195312,36.900001525878906,25.5159845,65.071058
1696508133959014400,29.643014404296874,0,0,40.13762283325195,7.706999778747559,1.1831904649734497,205.47598266601562,36.900001525878906,25.5159758,65.0710471
1696508134482090500,30.166090576171875,0,0,40.13762283325195,7.620999813079834,1.1978715658187866,206.0531463623047,36.900001525878906,25.5159664,65.0710377
1696508135020810200,30.704810302734376,0,0,40.14755630493164,7.413000106811523,1.2134130001068115,206.753662109375,36.900001525878906,25.5159559,65.0710289
1696508135625409500,31.309409423828125,0,0,40.15742111206055,7.15500020980835,1.2265877723693848,207.56301879882812,36.900001525878906,25.5159438,65.0710199
1696508136183521800,31.867521728515626,0,0,40.16739273071289,6.72599983215332,1.2351571321487427,208.41067504882812,36.900001525878906,25.5159282,65.0710094
