time,seconds_elapsed,z,y,x
1696508776577169200,0.106169189453125,-0.8752555847167969,-0.32703280448913574,0.06723421812057495
1696508776593068800,0.12206884765625,-0.8248004913330078,-0.3426358699798584,-0.053620338439941406
1696508776608968400,0.137968505859375,-0.36130714416503906,-0.4168252944946289,-0.1254311203956604
1696508776624776400,0.1537763671875,0.511591911315918,-0.636805534362793,-0.15105146169662476
1696508776640706800,0.169706787109375,2.03688907623291,-0.6999437808990479,0.3842959403991699
1696508776656545300,0.185545166015625,3.217670440673828,-0.6530482769012451,0.32275885343551636
1696508776672475600,0.2014755859375,2.771744728088379,0.0605926513671875,-0.5238308906555176
1696508776688375300,0.217375244140625,1.7448673248291016,0.09832477569580078,-0.9623647928237915
1696508776704275000,0.23327490234375,1.3515567779541016,-0.27358365058898926,-1.167999029159546
1696508776720296700,0.249296630859375,2.1137523651123047,-1.0025768280029297,-0.8751792907714844
1696508776736135200,0.26513525390625,4.40473747253418,-1.0519523620605469,-0.19159245491027832
1696508776751974000,0.280973876953125,6.47487735748291,-1.8302607536315918,-0.2949270009994507
1696508776767812400,0.296812255859375,7.784649848937988,-1.1434475183486938,0.6974902153015137
1696508776783651000,0.312651123046875,5.928692817687988,-0.24446165561676025,0.1923418641090393
1696508776799520300,0.328520263671875,2.7886438369750977,0.06004601716995239,0.02810114622116089
1696508776815297800,0.3442978515625,0.7170820236206055,0.4707643985748291,-0.6944167613983154
1696508776831167000,0.3601669921875,-0.3863039016723633,0.8963502049446106,-1.3794853687286377
1696508776846944500,0.375944580078125,-0.2718029022216797,0.5641264319419861,-0.49206578731536865
1696508776862783200,0.391783203125,0.14823150634765625,0.25589513778686523,0.29734283685684204
1696508776878713300,0.40771337890625,0.24520206451416016,0.15697354078292847,0.9560377597808838
1696508776894521300,0.423521240234375,-0.1668863296508789,0.06957590579986572,1.5992422103881836
1696508776910421000,0.4394208984375,-1.490804672241211,0.5016457438468933,2.2150092124938965
1696508776926229200,0.455229248046875,-3.953223705291748,0.8485788106918335,1.8553581237792969
1696508776942098400,0.471098388671875,-5.9996538162231445,1.4089664220809937,2.107407569885254
1696508776957998000,0.486998046875,-6.923371315002441,1.3675411939620972,1.6657037734985352
1696508776973806000,0.50280615234375,-5.23151969909668,1.387324333190918,2.179809093475342
1696508776989644800,0.518644775390625,-2.3193936347961426,1.1239629983901978,2.2836813926696777
1696508777005514000,0.534513916015625,-0.9070234298706055,0.6879926919937134,2.091856002807617
1696508777021352400,0.5503525390625,-1.0404939651489258,0.537901759147644,1.7236000299453735
1696508777037252000,0.566252197265625,-1.6973981857299805,0.8167234659194946,1.0567666292190552
1696508777053060400,0.582060302734375,-2.6878457069396973,1.2169829607009888,-0.26302847266197205
1696508777068960000,0.5979599609375,-3.1653833389282227,1.473764419555664,-0.8804957866668701
1696508777084707000,0.61370703125,-2.3798351287841797,1.416614294052124,-0.8275433778762817
1696508777100545500,0.629545654296875,-0.5999269485473633,0.9609299898147583,0.007497228682041168
1696508777116445200,0.645445068359375,1.7659530639648438,0.6120038032531738,0.8744285106658936
1696508777132253400,0.66125341796875,3.6521072387695312,0.6899712085723877,1.3918813467025757
1696508777148153000,0.677153076171875,2.9006595611572266,0.5868321657180786,0.9296414852142334
1696508777163930600,0.6929306640625,1.9434947967529297,0.6544783115386963,-0.045414745807647705
1696508777179738600,0.708738525390625,2.0606555938720703,0.394913911819458,-0.7125545144081116
1696508777195638300,0.72463818359375,2.956636428833008,0.014888167381286621,-0.5373737812042236
1696508777211416000,0.740416015625,3.802083969116211,0.09677326679229736,0.5428876876831055
1696508777227315700,0.756315673828125,3.8824033737182617,0.39583253860473633,1.9291622638702393
1696508777243093200,0.77209326171875,3.3375778198242188,0.36259591579437256,2.1875264644622803
1696508777258870800,0.787870849609375,3.2953548431396484,0.2706029415130615,1.6724848747253418
1696508777274740000,0.803739990234375,3.668323516845703,-0.026733756065368652,0.9327709674835205
1696508777290578700,0.81957861328125,4.181765556335449,-0.39997774362564087,0.7767375111579895
1696508777306478300,0.835478271484375,4.576582908630371,-0.8851345777511597,1.1271201372146606
1696508777322256000,0.851255859375,4.1381330490112305,-1.260593295097351,1.3856425285339355
1696508777338033400,0.867033447265625,2.626387596130371,-1.374659776687622,1.3730411529541016
1696508777353933000,0.88293310546875,1.007293701171875,-1.0553160905838013,1.129991054534912
1696508777369710600,0.898710693359375,0.06818008422851562,-0.6671227216720581,0.45284825563430786
1696508777385640700,0.914640625,-0.7418441772460938,-0.5764037370681763,-0.04595094919204712
1696508777401418500,0.93041845703125,-1.3465814590454102,-0.8225599527359009,-0.23532387614250183
1696508777417287700,0.94628759765625,-1.3615827560424805,-0.7332295775413513,-0.2978116571903229
1696508777433156600,0.962156494140625,-1.7809133529663086,-0.5885517001152039,-0.11035242676734924
1696508777448964900,0.97796484375,-2.5099124908447266,-0.3515644669532776,0.09001940488815308
1696508777464803300,0.99380322265625,-2.9966578483581543,-0.12237626314163208,0.3265094757080078
1696508777480611600,1.009611572265625,-3.399172306060791,0.14041662216186523,0.1476152539253235
1696508777496480800,1.025480712890625,-3.9629454612731934,0.24567222595214844,-0.06144724786281586
1696508777512349700,1.041349609375,-4.154208183288574,0.44811350107192993,-0.1953698694705963
1696508777528158000,1.057157958984375,-3.961090564727783,0.5304993987083435,-0.23264892399311066
1696508777544027100,1.073027099609375,-3.4573988914489746,0.5131860375404358,-0.013706400990486145
1696508777559896300,1.088896240234375,-2.0292367935180664,0.4044334292411804,0.640723466873169
