time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1696508778679000000,2.208,0,0,2.9775149822235107,43.89699935913086,0,0,39.20000076293945,25.5139835,65.0670127
1696508779615108000,3.144108154296875,10,20,2.9868760108947754,26.447999954223633,0.3027498126029968,9.921488761901855,39.20000076293945,25.5144098,65.0671862
1696508779942342000,3.471341796875,10,20,2.9901483058929443,20.298999786376953,1.980422854423523,326.879638671875,39.20000076293945,25.5142663,65.0672486
1696508781655564800,5.184564697265625,10,20,3.0072805881500244,16.974000930786133,9.41849136352539,335.66192626953125,39.20000076293945,25.5140683,65.0674322
1696508782427000000,5.956,0,0,1.9456837177276611,18.065000534057617,9.28861141204834,335.613525390625,39.30000305175781,25.5140071,65.0674889
1696508782613678300,6.14267822265625,10,20,1.9475505352020264,16.219999313354492,8.031466484069824,331.3345031738281,39.30000305175781,25.5139887,65.0674745
1696508783646789600,7.17578955078125,10,20,1.9578815698623657,14.689000129699707,5.895040512084961,324.46478271484375,39.30000305175781,25.5139312,65.0674803
1696508784647080400,8.17608056640625,10,20,1.9678845405578613,9.154000282287598,4.742367744445801,317.33935546875,39.30000305175781,25.5138721,65.0674857
1696508785602842000,9.131842041015625,10,20,1.9774421453475952,8.654000282287598,3.8337364196777344,309.62774658203125,39.30000305175781,25.5138246,65.0674849
1696508786649327900,10.178327880859374,10,20,1.9879070520401,8.060999870300293,3.044957160949707,303.6735534667969,39.30000305175781,25.5137897,65.0674848
1696508787626044000,11.1550439453125,10,20,1.9976741075515747,4.800000190734863,2.5585806369781494,301.0650329589844,39.30000305175781,25.5137626,65.0674877
1696508788604596700,12.1335966796875,10,20,2.0074596405029297,4.665999889373779,2.1756205558776855,299.77349853515625,39.30000305175781,25.51374,65.0674915
1696508789586737000,13.11573681640625,10,20,2.0172810554504395,4.400000095367432,1.9252634048461914,297.71551513671875,39.30000305175781,25.5137144,65.0674949
1696508790608548400,14.13754833984375,10,20,2.027499198913574,3.9800000190734863,1.7329330444335938,297.0730895996094,39.30000305175781,25.5136897,65.0674995
1696508791603013000,15.13201318359375,10,20,2.0374438762664795,3.9660000801086426,1.5699659585952759,298.1026611328125,39.30000305175781,25.5136693,65.0675049
1696508792606893000,16.13589306640625,10,20,2.04748272895813,3.865999937057495,1.4073820114135742,299.532470703125,39.30000305175781,25.5136523,65.06751
1696508793609109500,17.138109619140625,10,20,2.057504892349243,3.819999933242798,1.3245954513549805,302.7270202636719,39.30000305175781,25.5136348,65.067517
1696508794594217700,18.1232177734375,10,20,2.0673558712005615,3.819999933242798,1.2921135425567627,306.4551696777344,39.30000305175781,25.5136174,65.0675252
1696508795621315000,19.150315185546877,10,20,2.077626943588257,3.9000000953674316,1.2436634302139282,308.5978088378906,39.30000305175781,25.5136002,65.0675327
1696508796629381400,20.15838134765625,10,20,2.08770751953125,3.9000000953674316,1.1932454109191895,309.08111572265625,39.30000305175781,25.513583,65.0675392
1696508797654417400,21.18341748046875,10,20,2.0979578495025635,3.9000000953674316,1.1792181730270386,305.1641540527344,39.30000305175781,25.51356,65.0675436
1696508798592804600,22.1218046875,10,20,2.107341766357422,3.9000000953674316,1.21928071975708,305.3810119628906,39.30000305175781,25.5135384,65.0675501
1696508799588463900,23.1174638671875,10,20,2.1172983646392822,3.9000000953674316,1.3051636219024658,305.4334716796875,39.30000305175781,25.5135118,65.0675581
1696508800650549200,24.17954931640625,10,20,2.1279191970825195,3.9000000953674316,1.367936611175537,304.18035888671875,39.30000305175781,25.5134824,65.0675657
1696508801611109400,25.140109375,10,20,2.1375248432159424,3.9000000953674316,1.4683868885040283,303.7680969238281,39.30000305175781,25.5134522,65.0675739
1696508802588081200,26.1170810546875,10,20,2.147294521331787,3.9000000953674316,1.5375925302505493,303.5840148925781,39.30000305175781,25.5134218,65.0675822
1696508803595019500,27.12401953125,10,20,2.1573638916015625,3.9000000953674316,1.533642292022705,303.00653076171875,39.30000305175781,25.5133937,65.0675893
1696508804610624300,28.139624267578125,10,20,2.167520046234131,3.9000000953674316,1.4925446510314941,303.81793212890625,39.30000305175781,25.5133709,65.0675967
1696508805619014400,29.148014404296877,10,20,2.1776039600372314,3.9000000953674316,1.458114743232727,303.37689208984375,39.30000305175781,25.5133472,65.0676027
1696508806620298000,30.149298095703124,10,20,2.1876165866851807,3.9000000953674316,1.4340624809265137,303.2675476074219,39.30000305175781,25.5133239,65.0676089
1696508807594482400,31.123482421875,10,20,2.1973586082458496,3.9000000953674316,1.430652141571045,301.828125,39.30000305175781,25.5132963,65.0676135
1696508808603806000,32.132805908203125,10,20,2.207451820373535,3.9000000953674316,1.4117454290390015,299.9109802246094,39.30000305175781,25.5132686,65.0676166
1696508809646527000,33.17552685546875,10,20,2.217879056930542,3.9000000953674316,1.3912124633789062,298.0357360839844,39.30000305175781,25.5132405,65.0676187
1696508810626399500,34.1553994140625,10,20,1.7479952573776245,3.9000000953674316,1.3796600103378296,296.2687683105469,39.400001525878906,25.5132127,65.0676203
1696508811601286100,35.1302861328125,10,20,1.7577441930770874,3.9000000953674316,1.3692270517349243,294.65093994140625,39.400001525878906,25.5131851,65.0676214
1696508812622093600,36.15109350585937,10,20,1.7679522037506104,3.619999885559082,1.3611178398132324,293.74139404296875,39.400001525878906,25.5131576,65.0676241
1696508813658686000,37.18768603515625,10,20,1.778318166732788,3.619999885559082,1.3548957109451294,293.2456359863281,39.400001525878906,25.5131303,65.0676276
